Old Key,New Key
accept,consent-popup.button.accept
access.button.plans,access.button.plans
access.editor,access.editor
access.info,access.info
access.list,access.list
access.noOwner,access.noOwner
access.no_rights,access.no_rights
access.owner,access.owner
access.search.label,access.search.label
admin.banner,admin.banner.sectionTitle
admin.banner-missing-info,admin.banner.state.missing
admin.color-theme.advanced,admin.theme.advanced
admin.color-theme.buttons.save,admin.color-theme.buttons.save
admin.color-theme.colorPicker.helper-text,admin.theme.color-picker.helper-text
admin.color-theme.colorPicker.title,admin.theme.color-picker.title
admin.color-theme.colorPreview.primary,admin.theme.color-preview.primary
admin.color-theme.colorPreview.secondary,admin.theme.color-preview.secondary
admin.color-theme.colorPreview.tertiary,admin.theme.color-preview.tertiary
admin.color-theme.colorPreview.title,admin.theme.color-preview.title
admin.color-theme.colors.primary,admin.theme.colors.primary
admin.color-theme.colors.primary-container,admin.theme.colors.primary-container
admin.color-theme.colors.secondary,admin.theme.colors.secondary
admin.color-theme.colors.secondary-container,admin.theme.colors.secondary-container
admin.color-theme.colors.tertiary,admin.theme.colors.tertiary
admin.color-theme.colors.tertiary-container,admin.theme.colors.tertiary-container
admin.color-theme.exact-colors,admin.theme.exact-colors
admin.color-theme.popup.error,admin.theme.popup.error
admin.color-theme.popup.success,admin.theme.popup.success
admin.color-theme.title,admin.theme.title
admin.create.banner,admin.banner.action.create
admin.create.storage,admin.internalStorage.action.create
admin.create.translation,admin.internalStorage.translation.action.create
admin.delete.banner,admin.banner.action.delete
admin.dialog.banner.add,admin.banner.dialog.title.create
admin.dialog.banner.button.add,admin.banner.dialog.button.add
admin.dialog.banner.button.cancel,admin.banner.dialog.button.cancel
admin.dialog.banner.button.update,admin.banner.dialog.button.update
admin.dialog.banner.captions.color,admin.banner.dialog.field.backgroundColor
admin.dialog.banner.captions.description,admin.banner.dialog.field.description
admin.dialog.banner.captions.dismissible,admin.banner.dialog.field.dismissible
admin.dialog.banner.captions.title,admin.banner.dialog.field.title
admin.dialog.banner.edit,admin.banner.dialog.title.edit
admin.dialog.banner.tooltip.color,admin.banner.dialog.help.backgroundColor
admin.dialog.internal-storage-translation.add,admin.internalStorage.translation.dialog.title.create
admin.dialog.internal-storage-translation.button.add,admin.internalStorage.translation.dialog.button.add
admin.dialog.internal-storage-translation.button.cancel,admin.internalStorage.translation.dialog.button.cancel
admin.dialog.internal-storage-translation.button.update,admin.internalStorage.translation.dialog.button.update
admin.dialog.internal-storage-translation.captions.backupFrequency,admin.internalStorage.translation.dialog.field.backupFrequency
admin.dialog.internal-storage-translation.captions.description,admin.internalStorage.translation.dialog.field.description
admin.dialog.internal-storage-translation.captions.deu,admin.internalStorage.translation.dialog.field.deu
admin.dialog.internal-storage-translation.captions.eng,admin.internalStorage.translation.dialog.field.eng
admin.dialog.internal-storage-translation.captions.languageCode,admin.internalStorage.translation.dialog.field.languageCode
admin.dialog.internal-storage-translation.captions.title,admin.internalStorage.translation.dialog.field.title
admin.dialog.internal-storage-translation.edit,admin.internalStorage.translation.dialog.title.edit
admin.dialog.internal-storage.add,admin.internalStorage.dialog.title.create
admin.dialog.internal-storage.button.add,admin.dialog.internal-storage.button.add
admin.dialog.internal-storage.button.cancel,admin.dialog.internal-storage.button.cancel
admin.dialog.internal-storage.button.update,admin.dialog.internal-storage.button.update
admin.dialog.internal-storage.captions.active,admin.internalStorage.dialog.field.active
admin.dialog.internal-storage.captions.backupLocation,admin.internalStorage.dialog.field.backupLocation
