old_key,new_key,default_value_en,default_value_de,context,file_source
accept,ui.consent.accept,Accept,,General UI text,apps/damap-frontend/src/assets/i18n/consent/en.json
access.button.plans,access.button.plans,Go back to DMP overview,,Button label,libs/damap/src/assets/i18n/access/en.json
access.editor,access.editor,"Editor rights grant the user permissions to see the DMP and make changes to it. There are no restrictions on the kind of changes this user can make, bar deleting the DMP. The user can not however, assign viewing or editing permissions.",,General UI text,libs/damap/src/assets/i18n/access/en.json
access.info,access.info,Please note that simultaneous editing of a DMP can lead to data loss as changes may overwrite each other. Please make sure that you are the only one editing the dmp at the moment.,,Help or information text,libs/damap/src/assets/i18n/access/en.json
access.list,access.list,Only contributors in your universities database can be assigned editing rights for a DMP. ,,General UI text,libs/damap/src/assets/i18n/access/en.json
access.noOwner,access.noOwner,Only owners of the DMP are allowed to change access rights.,,General UI text,libs/damap/src/assets/i18n/access/en.json
access.no_rights,access.no_rights,Default setting. The user will not be able to see or interact with the DMP.,,General UI text,libs/damap/src/assets/i18n/access/en.json
access.owner,access.owner,"Owners can view, write, delete and assign permissions for DMPs. They are also capable of creating new owners - handle with care, new owners can remove old ones.",,General UI text,libs/damap/src/assets/i18n/access/en.json
admin.banner,admin.banner,Banner,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.banner-missing-info,admin.banner-missing-info,There is no banner currently set for the app.,,Help or information text,libs/damap/src/assets/i18n/admin/en.json
admin.create.banner,admin.create.banner,Add app banner,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.create.storage,admin.create.storage,Add new internal storage,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.create.translation,admin.create.translation,Add new translation,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.delete.banner,admin.delete.banner,Delete app banner,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.add,admin.dialog.banner.add,Create banner,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.button.add,admin.dialog.banner.button.add,Add,,Button label,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.button.cancel,admin.dialog.banner.button.cancel,Cancel,,Button label,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.button.update,admin.dialog.banner.button.update,Edit,,Button label,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.captions.color,admin.dialog.banner.captions.color,Background color,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.captions.description,admin.dialog.banner.captions.description,Description,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.captions.dismissible,admin.dialog.banner.captions.dismissible,Dismissible,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.captions.title,admin.dialog.banner.captions.title,Title,,Page or section title,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.edit,admin.dialog.banner.edit,Edit banner,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.preview,admin.dialog.banner.preview,Preview,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.banner.tooltip.color,admin.dialog.banner.tooltip.color,Click to select a background color for the banner,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.internal-storage-translation.add,admin.dialog.internal-storage-translation.add,Add translation,,Dialog box content,libs/damap/src/assets/i18n/admin/en.json
admin.dialog.internal-storage-translation.button.add,admin.dialog.internal-storage-translation.button.add,Add,,Button label,libs/damap/src/assets/i18n/admin/en.json
